level,task_id,task_path,task_name
level1,74,third_party/KernelBench/KernelBench/level1/74_conv_transposed_1D_dilated.py,74_conv_transposed_1D_dilated.py
level1,76,third_party/KernelBench/KernelBench/level1/76_conv_standard_1D_dilated_strided__.py,76_conv_standard_1D_dilated_strided__.py
level1,79,third_party/KernelBench/KernelBench/level1/79_conv_transposed_1D_asymmetric_input_square_kernel___padded____strided____dilated__.py,79_conv_transposed_1D_asymmetric_input_square_kernel___padded____strided____dilated__.py
level1,88,third_party/KernelBench/KernelBench/level1/88_MinGPTNewGelu.py,88_MinGPTNewGelu.py
level1,89,third_party/KernelBench/KernelBench/level1/89_cumsum.py,89_cumsum.py
level1,99,third_party/KernelBench/KernelBench/level1/99_TripletMarginLoss.py,99_TripletMarginLoss.py
level1,100,third_party/KernelBench/KernelBench/level1/100_HingeLoss.py,100_HingeLoss.py
level2,3,third_party/KernelBench/KernelBench/level2/3_ConvTranspose3d_Sum_LayerNorm_AvgPool_GELU.py,3_ConvTranspose3d_Sum_LayerNorm_AvgPool_GELU.py
level2,5,third_party/KernelBench/KernelBench/level2/5_ConvTranspose2d_Subtract_Tanh.py,5_ConvTranspose2d_Subtract_Tanh.py
level2,18,third_party/KernelBench/KernelBench/level2/18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp.py,18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp.py
level2,23,third_party/KernelBench/KernelBench/level2/23_Conv3d_GroupNorm_Mean.py,23_Conv3d_GroupNorm_Mean.py
level2,29,third_party/KernelBench/KernelBench/level2/29_Matmul_Mish_Mish.py,29_Matmul_Mish_Mish.py
level2,38,third_party/KernelBench/KernelBench/level2/38_ConvTranspose3d_AvgPool_Clamp_Softmax_Multiply.py,38_ConvTranspose3d_AvgPool_Clamp_Softmax_Multiply.py
level2,39,third_party/KernelBench/KernelBench/level2/39_Gemm_Scale_BatchNorm.py,39_Gemm_Scale_BatchNorm.py
level2,42,third_party/KernelBench/KernelBench/level2/42_ConvTranspose2d_GlobalAvgPool_BiasAdd_LogSumExp_Sum_Multiply.py,42_ConvTranspose2d_GlobalAvgPool_BiasAdd_LogSumExp_Sum_Multiply.py
level2,53,third_party/KernelBench/KernelBench/level2/53_Gemm_Scaling_Hardtanh_GELU.py,53_Gemm_Scaling_Hardtanh_GELU.py
level2,59,third_party/KernelBench/KernelBench/level2/59_Matmul_Swish_Scaling.py,59_Matmul_Swish_Scaling.py
level2,65,third_party/KernelBench/KernelBench/level2/65_Conv2d_AvgPool_Sigmoid_Sum.py,65_Conv2d_AvgPool_Sigmoid_Sum.py
level2,68,third_party/KernelBench/KernelBench/level2/68_Matmul_Min_Subtract.py,68_Matmul_Min_Subtract.py
level2,72,third_party/KernelBench/KernelBench/level2/72_ConvTranspose3d_BatchNorm_AvgPool_AvgPool.py,72_ConvTranspose3d_BatchNorm_AvgPool_AvgPool.py
level2,74,third_party/KernelBench/KernelBench/level2/74_ConvTranspose3d_LeakyReLU_Multiply_LeakyReLU_Max.py,74_ConvTranspose3d_LeakyReLU_Multiply_LeakyReLU_Max.py
level2,80,third_party/KernelBench/KernelBench/level2/80_Gemm_Max_Subtract_GELU.py,80_Gemm_Max_Subtract_GELU.py
level3,5,third_party/KernelBench/KernelBench/level3/5_AlexNet.py,5_AlexNet.py
level3,10,third_party/KernelBench/KernelBench/level3/10_ResNet101.py,10_ResNet101.py
level3,13,third_party/KernelBench/KernelBench/level3/13_DenseNet121TransitionLayer.py,13_DenseNet121TransitionLayer.py
level3,14,third_party/KernelBench/KernelBench/level3/14_DenseNet121DenseBlock.py,14_DenseNet121DenseBlock.py
level3,22,third_party/KernelBench/KernelBench/level3/22_EfficientNetB0.py,22_EfficientNetB0.py
level3,29,third_party/KernelBench/KernelBench/level3/29_SwinMLP.py,29_SwinMLP.py
level3,36,third_party/KernelBench/KernelBench/level3/36_LSTMHn.py,36_LSTMHn.py
level3,39,third_party/KernelBench/KernelBench/level3/39_GRU.py,39_GRU.py
level3,41,third_party/KernelBench/KernelBench/level3/41_GRUBidirectional.py,41_GRUBidirectional.py
level3,43,third_party/KernelBench/KernelBench/level3/43_MinGPTCausalAttention.py,43_MinGPTCausalAttention.py
